business_name,category,city,phone,rating,review_count,closed_days
Irvine Smile Dentistry,dental,Irvine,+1 949-552-1701,4.9,117,"Wed, Sun"
Irvine Modern Dentistry,dental,Irvine,+1 949-336-8782,4.9,204,"Mon, Sat, Sun"
Irvine Dentistry,dental,Irvine,+1 949-552-1757,4.7,67,Sun
Irvine Dental Center,dental,Irvine,+1 949-551-5888,4.9,209,"Tue, Sun"
Parkview Dental Group,dental,Irvine,+1 949-622-0001,4.9,420,"Sat, Sun"
Serene Dental Center,dental,Irvine,+1 949-748-7373,4.9,747,"Sat, Sun"
Dentists of Irvine Dental Group,dental,Irvine,+1 949-236-6527,4.5,255,"Sat, Sun"
Blue Brush Dental,dental,Irvine,+1 949-828-4772,5.0,734,Sun
Sand Canyon Dental,dental,Irvine,+1 949-727-9077,4.9,405,"Sat, Sun"
Elite Dental Irvine,dental,Irvine,+1 949-552-2828,5.0,110,"Mon, Sat, Sun"
Anaheim Dentist - Open 7 Days,dental,Anaheim,+1 714-527-7775,4.3,613,none
Dentist of Anaheim,dental,Anaheim,+1 657-567-7872,4.6,193,Sun
7 Day Dental (N Euclid),dental,Anaheim,+1 714-772-2893,4.4,1471,none
Anaheim Dental Group,dental,Anaheim,+1 714-870-6611,4.7,59,"Wed, Sun"
MY Dental Center,dental,Anaheim,+1 714-776-8681,5.0,567,Sun
Dental Wellness of Anaheim,dental,Anaheim,+1 714-535-3254,4.5,105,Sun
7 Day Dental (W Lincoln),dental,Anaheim,+1 714-491-8600,4.4,1471,none
SMILEE DENTAL (pediatric),dental,Anaheim,+1 657-655-4321,5.0,965,"Wed, Sun"
Jungle Dental (pediatric),dental,Anaheim,+1 714-707-6719,4.8,614,"Thu, Sat, Sun"
Anaheim Dental & Orthodontics,dental,Anaheim,+1 714-520-8888,4.8,383,Sun
Huntington Beach Dental Center,dental,Huntington Beach,+1 714-252-7312,4.9,621,Sun
Dentists of Huntington Beach,dental,Huntington Beach,+1 714-594-7039,4.8,224,"Sat, Sun"
Harbor Smiles Dental Care,dental,Huntington Beach,+1 714-844-5240,4.8,422,"Sat, Sun"
Beach City Dental,dental,Huntington Beach,+1 714-442-7724,5.0,574,"Sat, Sun"
Allure Family Dental & Specialty,dental,Huntington Beach,+1 714-581-8989,4.9,699,"Sat, Sun"
Smiles Cafe Dentistry,dental,Huntington Beach,+1 714-369-5267,5.0,1254,"Sat, Sun"
HB Smile Dental,dental,Huntington Beach,+1 657-329-4100,5.0,244,"Mon, Sun"
Huntington Beach Modern Dentistry,dental,Huntington Beach,+1 714-536-2383,4.5,339,"Sat, Sun"
Seaside Dental Care,dental,Huntington Beach,+1 714-536-6633,4.9,231,Sun
Huntington Smile Care,dental,Huntington Beach,+1 714-602-3505,5.0,99,"Wed, Sat, Sun"
New Generation Dentistry,dental,Mission Viejo,+1 949-354-5620,5.0,647,"Sat, Sun"
Mission Dental Group,dental,Mission Viejo,+1 949-582-8400,4.7,255,"Sat, Sun"
Mission Viejo Dental Associates,dental,Mission Viejo,+1 949-586-6200,5.0,71,"Sat, Sun"
Hada Family Dental,dental,Mission Viejo,+1 949-951-1067,5.0,1412,"Sat, Sun"
Saddleback Dental Associates,dental,Mission Viejo,+1 949-457-0223,5.0,77,"Sat, Sun"
